"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",3.71089
"Jan 1, 08:00 am",10.7718
"Jan 1, 08:30 am",13.8712
"Jan 1, 09:00 am",8.59323
"Jan 1, 09:30 am",38.9847
"Jan 1, 10:00 am",68.3689
"Jan 1, 10:30 am",58.5317
"Jan 1, 11:00 am",116.299
"Jan 1, 11:30 am",127.148
"Jan 1, 12:00 pm",77.9619
"Jan 1, 12:30 pm",125.429
"Jan 1, 01:00 pm",124.209
"Jan 1, 01:30 pm",115.094
"Jan 1, 02:00 pm",104.04
"Jan 1, 02:30 pm",44.8747
"Jan 1, 03:00 pm",48.9062
"Jan 1, 03:30 pm",29.9902
"Jan 1, 04:00 pm",10.497
"Jan 1, 04:30 pm",2.07028
"Jan 1, 05:00 pm",0
"Jan 1, 05:30 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",2.2048
"Jan 2, 08:00 am",6.54418
"Jan 2, 08:30 am",6.26637
"Jan 2, 09:00 am",1.63292
"Jan 2, 09:30 am",3.01379
"Jan 2, 10:00 am",4.94544
"Jan 2, 10:30 am",4.39851
"Jan 2, 11:00 am",9.18903
"Jan 2, 11:30 am",8.99677
"Jan 2, 12:00 pm",7.91412
"Jan 2, 12:30 pm",10.0844
"Jan 2, 01:00 pm",11.7384
"Jan 2, 01:30 pm",17.2186
"Jan 2, 02:00 pm",13.0946
"Jan 2, 02:30 pm",11.2994
"Jan 2, 03:00 pm",8.02904
"Jan 2, 03:30 pm",3.89913
"Jan 2, 04:00 pm",4.52514
"Jan 2, 04:30 pm",1.06161
"Jan 2, 05:00 pm",0
"Jan 2, 05:30 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",24.5218
"Jan 3, 08:00 am",56.4872
"Jan 3, 08:30 am",84.9889
"Jan 3, 09:00 am",110.846
"Jan 3, 09:30 am",132.23
"Jan 3, 10:00 am",149.434
"Jan 3, 10:30 am",163.094
"Jan 3, 11:00 am",171.903
"Jan 3, 11:30 am",177.325
"Jan 3, 12:00 pm",177.929
"Jan 3, 12:30 pm",175.394
"Jan 3, 01:00 pm",168.364
"Jan 3, 01:30 pm",157.882
"Jan 3, 02:00 pm",143.273
"Jan 3, 02:30 pm",125.311
"Jan 3, 03:00 pm",103.29
"Jan 3, 03:30 pm",78.2961
"Jan 3, 04:00 pm",49.519
"Jan 3, 04:30 pm",15.9185
"Jan 3, 05:00 pm",0
"Jan 3, 05:30 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",25.1187
"Jan 4, 08:00 am",56.9363
"Jan 4, 08:30 am",85.2096
"Jan 4, 09:00 am",109.756
"Jan 4, 09:30 am",130.441
"Jan 4, 10:00 am",146.076
"Jan 4, 10:30 am",157.761
"Jan 4, 11:00 am",163.553
"Jan 4, 11:30 am",167.016
"Jan 4, 12:00 pm",166.093
"Jan 4, 12:30 pm",164.988
"Jan 4, 01:00 pm",160.256
"Jan 4, 01:30 pm",151.363
"Jan 4, 02:00 pm",138.813
"Jan 4, 02:30 pm",121.769
"Jan 4, 03:00 pm",100.581
"Jan 4, 03:30 pm",76.7102
"Jan 4, 04:00 pm",48.9034
"Jan 4, 04:30 pm",16.5109
"Jan 4, 05:00 pm",0
"Jan 4, 05:30 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
"Jan 5, 05:30 am",0
"Jan 5, 06:00 am",0
"Jan 5, 06:30 am",0
